feature,importance,importance_std,method
marital-status,0.0857979381222559,0.0022112672071072383,permutation_importance
capital-gain,0.061875453199949845,0.0023637121352277917,permutation_importance
age,0.05112204508452374,0.0027359726712086517,permutation_importance
education-num,0.03051391593651026,0.001863549449898467,permutation_importance
hours-per-week,0.012570257144169383,0.0006709779338999729,permutation_importance
capital-loss,0.012331226007526919,0.0008775122838346026,permutation_importance
occupation,0.011217875109691678,0.0009459321193661319,permutation_importance
relationship,0.004363339184713699,0.0008049602431829053,permutation_importance
workclass,0.0019206727556478564,0.0002438404637006568,permutation_importance
sex,0.0013498149326814034,0.00025760709395491446,permutation_importance
fnlwgt,0.0006380773259409,0.00030005061922669965,permutation_importance
race,0.0005972742213823712,0.00027154361322856836,permutation_importance
native-country,0.0005042023916869143,0.0002547298317258349,permutation_importance
education,6.27098073295862e-06,0.00010298651866686647,permutation_importance
